ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: surerank_seo_checks_last_updated","Meta: feature_image_1","Meta: _feature_image_1","Meta: feature_text_1","Meta: _feature_text_1","Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: astra-migrate-meta-layouts","Meta: _uag_css_file_name","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
6067,simple,AGB-RAJ-100,,"Rajahmasa Royal Floral Agarbatti | Premium Incense Sticks - Pack of 100",1,1,visible,"Rajahmasa is Sridattam's tribute to royalty and romance - a rich floral bouquet in 100  incense sticks. Low smoke, long-lasting, made for daily devotion and quiet luxury.","<p>Named for royal passion, Rajahmasa captures a lush, romantic floral bouquet in every stick - the kind of fragrance that turns an ordinary room into something worth pausing in. Each stick is  on a low-smoke masala base, so the floral character comes through clean and full.</p><p>Why you'll love Rajahmasa: - A rich, romantic floral character, rolled by hand - Low-smoke base for a clean, even burn - Long burn time of approx. 40-45 minutes per stick - Ideal for daily pooja, evening prayers, meditation and quiet moments - A thoughtful gift for festivals, housewarmings and pooja thali sets</p><p>Pack contains 100 premium Rajahmasa incense sticks from Sridattam. Light one stick in a heat-safe holder, let it catch flame for 2-3 seconds, then gently blow out to let it smoulder. Store in a cool, dry place away from direct sunlight.</p><p>Rajahmasa - because devotion can be royal too.</p>",,,taxable,,1,,,0,0,,,,,1,,179,210,"Incense Sticks","Agarbatti, Floral, Gifting, Pooja, Rajahmasa, Royal, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000ff8472088c498b64af527ad2.png,,,,,,,,,0,Sridattam,"Aroma Family","Royal Floral",1,1,1783869830,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6067.css,,,,,,,,
6068,simple,AGB-KAL-100,,"Kalyani Serene Floral Agarbatti | Calming Incense Sticks - Pack of 100",1,0,visible,"Kalyani is Sridattam's fragrance for stillness - a soft, calming floral note in 100   sticks, made for evenings, meditation and quiet reset.","<p>Kalyani means 'the one who brings auspiciousness and calm' - and that is exactly the mood this fragrance sets. A gentler, softer floral character than Rajahmasa, Kalyani is built for the moments you want your space to feel quiet, grounded and at ease.</p><p>Why you'll love Kalyani: - A soft, calming floral character designed to ease stress -  , low-smoke formula, gentle on breathing spaces - Long burn time of approx. 40-45 minutes per stick - Perfect for evening wind-down, yoga, meditation and bedrooms - A thoughtful self-care gift for friends and family</p><p>Pack contains 100 premium Kalyani incense sticks from Sridattam. Place in a heat-resistant holder, light the tip, let it flame briefly, then blow out gently to let it smoulder. Keep away from curtains and flammable material.</p><p>Kalyani - stillness, one stick at a time.</p>",,,taxable,,1,,,0,0,,,,,1,,149,180,"Incense Sticks","Agarbatti, Calming, Floral, Gifting, Kalyani, Meditation, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000cc4871fbb276675840c3705c.png,,,,,,,,,0,Sridattam,"Aroma Family","Serene Floral",1,1,1783870252,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6068.css,,,,,,,,
6069,simple,AGB-CHA-100,,"Chandanavana Sacred Woody Agarbatti | Premium Incense Sticks - Pack of 100",1,0,visible,"Chandanavana is Sridattam's most traditional fragrance - a warm, woody note that has anchored Indian pooja rituals for generations, in 100   sticks.","<p>Chandanavana - 'the sacred forest' - is Sridattam's ode to centuries of temple tradition. This is our warmest, most grounding fragrance: a deep, woody character that feels immediately familiar to anyone who has grown up around Indian pooja rituals.</p><p>Why you'll love Chandanavana: - A rich, warm, woody character rooted in tradition -  , low-smoke, even-burning sticks - Long burn time of approx. 40-45 minutes per stick - Ideal for daily pooja, temple offerings, havan and festive rituals - A timeless choice for gifting on Diwali, weddings and housewarmings</p><p>Pack contains 100 premium Chandanavana incense sticks from Sridattam. Light the tip in a heat-safe holder, let it catch flame for a moment, then blow out to let it smoulder gently. Store away from moisture and direct heat.</p><p>Chandanavana - the scent tradition never let go of.</p>",,,taxable,,1,,,0,0,,,,,1,,149,180,"Incense Sticks","Agarbatti, Chandanavana, Pooja, Sacred, Sridattam, Temple, Woody",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000a5a871fb867d2a96c278bab8.png,,,,,,,,,0,Sridattam,"Aroma Family","Sacred Woody",1,1,1783865918,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6069.css,,,,,,,,
6070,simple,AGB-NAN-100,,"Nandanam Earthy Resin Agarbatti | Temple-Style Incense Sticks - Pack of 100",1,1,visible,"Nandanam is Sridattam's boldest fragrance - a deep, smoky, earthy note inspired by temple ritual, in 100   sticks for a powerful pooja atmosphere.","<p>Nandanam draws its character from deep, earthy, resinous notes - smoky and grounding, reminiscent of the dhoop burned in temples for centuries. It's bolder and more intense than our floral or woody fragrances, built for households that want a strong, traditional atmosphere during prayer.</p><p>Why you'll love Nandanam: - A deep, smoky, earthy character inspired by traditional temple ritual -   on a low-smoke base for a strong yet clean burn - Long burn time of approx. 40-45 minutes per stick - Ideal for havan, festive pooja, and spaces that call for a stronger fragrance - A distinctive, memorable gift for those who love bold, classic ritual scents</p><p>Pack contains 100 premium Nandanam incense sticks from Sridattam. Light in a heat-resistant holder, allow a brief flame, then blow out to let it smoulder. Ensure good ventilation given its richer character.</p><p>Nandanam - for the moments that call for depth.</p>",,,taxable,,1,,,0,0,,,,,1,,129,160,"Incense Sticks","Agarbatti, Earthy, Havan, Nandanam, Resin, Sridattam, Temple",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000a28071fbb6579fc621e6c1f2.png,,,,,,,,,0,Sridattam,"Aroma Family","Deep Earthy-Resin",1,1,1784004585,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6070.css,,,,,,,,
6071,simple,DHS-RAJ-20,,"Rajahmasa Bambooless Dhoop Sticks | Hexagonal Royal Floral - 20 Sticks",1,1,visible,"Rajahmasa Dhoop Sticks bring bold, bambooless floral fragrance in a striking 8-inch hexagonal stick - 20 sticks of pure, long-burning ritual fragrance.","<p>Rajahmasa Dhoop Sticks take Sridattam's signature royal floral character and intensify it in a completely bambooless format. Shaped as elegant 8-inch hexagonal sticks, they burn cleaner and release a stronger, more concentrated fragrance than a regular agarbatti.</p><p>Why you'll love this dhoop stick: - 100% bambooless - no wood core, so no wood-smoke smell - Distinctive 8-inch hexagonal shape for elegant display and even burning - Rich, romantic floral character, ideal for daily and festive pooja - Long-lasting burn perfect for extended prayer sessions - 20 sticks per pack</p><p>Place each stick upright in a heat-safe stand, light the tip, let it catch flame for a few seconds, then blow out gently to let it smoulder. Store in a cool, dry place.</p><p>A premium, bambooless Rajahmasa experience for households who love ritual with richness.</p>",,,taxable,,1,,,0,0,,,,,1,,165,189,"Dhoop Sticks","Bambooless, Dhoop Sticks, Floral, Hexagonal, Pooja, Rajahmasa, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_000000006f7471fbb7b55d9826e0b205.png,,,,,,,,,0,Sridattam,"Aroma Family","Royal Floral",1,1,1784004585,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6071.css,,,,,,,,
6072,simple,DHS-KAL-20,,"Kalyani Bambooless Dhoop Sticks | Hexagonal Serene Floral - 20 Sticks",1,1,visible,"Kalyani Dhoop Sticks deliver calming floral fragrance in a bambooless 8-inch hexagonal format - 20 sticks for a deeper, more relaxing ritual.","<p>Kalyani Dhoop Sticks bring Sridattam's soothing, calming character into a bolder, bambooless format. Shaped as 8-inch hexagonal sticks with no wood core, they burn cleanly and release a stronger, calming aroma - ideal for evening rituals and meditation.</p><p>Why you'll love this dhoop stick: - 100% bambooless for a purer, wood-smoke-free fragrance - Elegant 8-inch hexagonal shape, even and long burning - Soft, calming floral character for stress relief and relaxation - Great for meditation corners, yoga spaces and evening pooja - 20 sticks per pack</p><p>Place upright in a heat-resistant stand, light the tip briefly, then blow out to let it smoulder. Keep away from flammable fabrics and store in a cool, dry place.</p><p>Let Kalyani Dhoop Sticks turn any room into a calm retreat.</p>",,,taxable,,1,,,0,0,,,,,1,,149,179,"Dhoop Sticks","Bambooless, Calming, Dhoop Sticks, Floral, Hexagonal, Kalyani, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000593471fbbdbfc0ffa21efeed.png,,,,,,,,,0,Sridattam,"Aroma Family","Serene Floral",1,1,1783914045,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6072.css,,,,,,,,
6073,simple,DHS-NAN-20,,"Nandanam Bambooless Dhoop Sticks | Hexagonal Earthy Resin - 20 Sticks",1,0,visible,"Nandanam Dhoop Sticks intensify Sridattam's deep, earthy-resin fragrance in a bambooless 8-inch hexagonal format - 20 sticks for a powerful, temple-style pooja atmosphere.","<p>Nandanam Dhoop Sticks bring the deep, resinous character of our earthiest fragrance into a bold, bambooless dhoop format. The 8-inch hexagonal sticks are built for households and temples that want an intense, traditional aroma that fills a space with reverence.</p><p>Why you'll love this dhoop stick: - 100% bambooless for a stronger, purer fragrance release - Elegant 8-inch hexagonal shape for steady, long burning - Deep, smoky, earthy character inspired by classic temple dhoop - Ideal for havan, festive pooja and larger prayer spaces - 20 sticks per pack</p><p>Place upright in a heat-safe stand, light briefly, then blow out to let it smoulder. Ensure good ventilation. Store in a cool, dry place away from sunlight.</p><p>Nandanam Dhoop Sticks bring depth and drama to your daily ritual.</p>",,,taxable,,1,,,0,0,,,,,1,,145,169,"Dhoop Sticks","Bambooless, Dhoop Sticks, Earthy, Havan, Nandanam, Resin, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_000000000e5472088e307a9a7136cd66.png,,,,,,,,,0,Sridattam,"Aroma Family","Deep Earthy-Resin",1,1,1783877359,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6073.css,,,,,,,,
6074,simple,DHS-TRI-21,,"Trishakthi Triple Emotion Bambooless Dhoop Sticks Combo - 21 Sticks",1,0,visible,"Trishakthi brings together all three Sridattam emotions - Rajahmasa, Kalyani and Nandanam - in one bambooless dhoop pack. 21 hexagonal sticks, 7 of each, for a complete ritual experience.","<p>Trishakthi - 'the power of three' - is Sridattam's combo dhoop stick pack for those who want variety without compromise. Every pack contains 7 sticks each of our three signature bambooless dhoop moods: the romantic Rajahmasa, the calming Kalyani, and the deep, grounding Nandanam - 21 hexagonal sticks in total.</p><p>Why you'll love Trishakthi: - 3 signature Sridattam moods in one pack - floral, calming and earthy - 100% bambooless, 8-inch hexagonal sticks for elegant, even burning - Perfect for households that like to match fragrance to mood or occasion - A great starter pack for first-time dhoop buyers - Makes an excellent gifting option</p><p>Place each stick upright in a heat-resistant stand, light the tip, let it flame briefly, then blow out to let it smoulder. Store in a cool, dry place.</p><p>One pack, three moods - Trishakthi lets your ritual match every occasion.</p>",,,taxable,,1,,,0,0,,,,,1,,185,199,"Dhoop Sticks","Combo, Dhoop Sticks, Gifting, Mixed, Sridattam, Trishakthi",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/Screenshot_20260712_224109_Gallery.jpg,,,,,,,,,0,Sridattam,"Aroma Family","Deep Earthy-Resin), Mixed (Royal Floral, Serene Floral",1,1,1783876343,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6074.css,,,,,,,,
6075,simple,DHC-RAJ-36,,"Rajahmasa Royal Floral Dhoop Cones | Easy-Light Pooja Cones - Pack of 36",1,1,visible,"Rajahmasa Dhoop Cones deliver rich floral fragrance in an easy-to-light cone form-36 cones per box for quick, mess-free daily pooja.","<p>Rajahmasa Dhoop Cones bring Sridattam's signature royal floral character into a compact, easy-to-use cone. Simply light the tip and place it on a heat-safe plate - no holder or stand needed - for a quick, fragrant burst that fills your space in minutes.</p><p>Why you'll love these dhoop cones: - Rich, romantic floral character in a convenient cone format - No holder needed - just light and place on any heatproof surface - Fast-lighting and long-lasting fragrance release - Great for quick daily pooja, home fragrance and travel pooja kits - 36 cones per box</p><p>Place the cone on a heat-resistant plate or dhoop stand, light the tip, let it catch flame for a moment, then blow out to let it smoulder. Store in a cool, dry place away from moisture.</p><p>Rajahmasa Dhoop Cones - royal fragrance, ready in seconds.</p>",,,taxable,,1,,,0,0,,,,,1,,99,119,"Dhoop Cones","Dhoop Cones, Floral, Pooja, Quick Use, Rajahmasa, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000341471fa9fd5d5fd61c290da.png,,,,,,,,,0,Sridattam,"Aroma Family","Royal Floral",1,1,1783878121,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6075.css,,,,,,,,
6076,simple,DHC-KAL-36,,"Chandanavana Floral Dhoop Cones | Easy-Light Relaxing Cones - Pack of 36",1,0,visible,"Chandanavana Dhoop Cones bring calming floral fragrance in a quick-light cone format - 36 cones per box for effortless everyday relaxation.","<p>Chandanavana Dhoop Cones pack Sridattam's soothing, calming character into an easy, no-fuss cone. Just light and place - no holder required - for a fast, calming fragrance boost whenever your day needs a reset.</p><p>Why you'll love these dhoop cones: - Soft, calming floral character in a convenient cone format - No holder needed - light and place on any heatproof surface - Quick-lighting with a long, gentle fragrance release - Perfect for evening relaxation, meditation and guest-ready homes - 36 cones per box</p><p>Place on a heat-resistant plate, light the tip briefly, then blow out to let it smoulder. Store in a cool, dry place.</p><p>Kalyani Dhoop Cones - instant calm, one cone at a time.</p>",,,taxable,,1,,,0,0,,,,,1,,89,99,"Dhoop Cones","Calming, Dhoop Cones, Floral, Kalyani, Quick Use, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000554871faaca4ba7e793638ee.png,,,,,,,,,0,Sridattam,"Aroma Family","Serene Floral",1,1,1783876604,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6076.css,,,,,,,,
